Name:          Centro_Campos
Optimal value: 2400            
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    91           
#Nodes:        298         
#Edges:        67          
#Arcs:         425         
#Required N:   4           
#Required E:   64          
#Required A:   385         

ReN.     DEMAND   S.COST  
N96      580      6
N243     970      8
N288     650      5
N209     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E1       1        3        0.26     39.54    0.69    
E2       9        10       0.48     101.57   1.27    
E3       33       34       0.26     107.44   0.69    
E4       53       54       0.20     54.63    0.53    
E5       53       55       0.80     44.29    2.15    
E6       58       59       0.37     103.66   0.98    
E7       61       62       0.48     66.25    1.27    
E8       64       65       0.23     75.45    0.62    
E9       62       67       0.41     105.82   1.09    
E10      62       68       0.37     90.59    0.99    
E11      69       71       0.48     35.31    1.28    
E12      79       80       0.28     158.34   0.75    
E13      87       88       0.13     55.51    0.34    
E14      5        97       0.03     58.33    0.09    
E15      56       100      0.15     45.47    0.39    
E16      25       82       0.35     43.77    0.93    
E17      104      105      0.14     32.20    0.37    
E18      108      110      0.13     71.61    0.35    
E19      88       93       0.23     28.56    0.61    
E20      105      116      0.19     31.02    0.51    
E21      110      118      0.27     28.91    0.71    
E22      97       118      0.05     7.29     0.13    
E23      97       123      0.39     11.15    1.03    
E24      128      129      0.22     24.26    0.58    
E25      130      131      0.68     48.46    1.82    
E26      130      132      0.68     151.58   1.82    
E27      143      144      0.17     150.55   0.47    
E28      143      145      0.11     38.71    0.29    
E29      146      147      0.25     38.71    0.68    
E30      152      153      0.26     86.23    0.69    
E31      158      159      0.44     41.81    1.16    
E32      170      171      0.30     31.68    0.80    
E33      173      179      0.23     91.99    0.60    
E34      171      183      1.09     66.25    2.90    
E35      171      184      0.12     241.58   0.31    
E36      189      190      1.17     47.95    3.11    
E37      161      165      0.71     83.61    1.89    
E38      67       172      0.25     227.53   0.66    
E39      200      201      0.92     7.43     2.47    
E40      194      212      0.29     67.24    0.76    
E41      193      230      0.50     85.38    1.34    
E42      193      231      0.50     111.80   1.34    
E43      231      239      0.76     111.68   2.02    
E44      135      235      0.16     98.30    0.43    
E45      238      251      0.55     153.34   1.46    
E46      238      264      0.50     121.09   1.34    
E47      129      272      0.35     48.46    0.92    
E48      129      262      0.41     76.93    1.09    
E49      129      273      0.64     90.78    1.71    
E50      274      275      0.25     52.30    0.67    
E51      184      227      0.25     25.88    0.66    
E52      184      190      0.14     54.55    0.37    
E53      275      279      0.22     48.85    0.59    
E54      242      275      0.22     52.66    0.59    
E55      272      283      0.32     76.93    0.85    
E56      113      248      0.41     110.91   1.11    
E57      284      286      0.39     61.46    1.03    
E58      247      264      0.25     31.22    0.67    
E59      148      283      0.27     183.93   0.71    
E60      190      295      0.28     30.46    0.75    
E61      283      297      0.33     58.99    0.88    
E62      42       143      0.33     82.71    0.89    
E63      100      105      0.17     32.73    0.45    
E64      3        100      0.18     31.12    0.48    

EDGE     From N.  To N.    T. COST 
NrE1     36       39       28.58   
NrE2     91       265      7.69    
NrE3     276      294      26.33   

ReA.     FROM N.  TO N.    T. COST  DEMAND   S.COST  
A1       1        2        0.18     0.00     0.48    
A2       4        5        0.25     57.54    0.68    
A3       6        7        0.12     56.49    0.33    
A4       6        8        0.46     27.68    1.22    
A5       9        11       0.17     105.74   0.44    
A6       12       13       0.23     36.83    0.62    
A7       10       14       0.16     105.74   0.44    
A8       15       16       0.13     36.43    0.35    
A9       19       15       0.49     118.14   1.30    
A10      19       20       0.22     108.06   0.58    
A11      21       22       0.58     48.54    1.55    
A12      21       23       0.60     129.19   1.60    
